


Prop0 Cog6 ok
demo

P-part  I-part  d-part  pwm-value     Encoder-count
754600  400     250     800000  1026
750400  -1200   -400    800000  1030
746900  -1000   50      800000  1039
740600  -1800   -200    800000  1045
739200  -400    350     800000  1047
737100  -600    -50     800000  1050
733600  -1000   -100    800000  1052
735000  400     350     800000  1058
728000  -2000   -600    800000  1062
726600  -400    400     800000  1064
723800  -800    -100    800000  1068
722400  -400    100     800000  1070
723100  200     150     800000  1075
714000  -2600   -700    800000  1080
715400  400     750     800000  1080
714000  -400    -200    800000  1084
709800  -1200   -200    800000  1088
707000  -800    100     800000  1096
701400  -1600   -200    800000  1102
697200  -1200   100     800000  1109
693000  -1200   0       800000  1116
684600  -2400   -300    800000  1124
684600  0       600     800000  1124
680400  -1200   -300    800000  1130
680400  0       300     800000  1126
679700  -200    -50     800000  1130
679000  -200    0       800000  1128
676900  -600    -100    800000  1132
676200  -200    100     800000  1138
673400  -800    -150    800000  1138
674800  400     300     800000  1141
670600  -1200   -400    800000  1140
670600  0       300     800000  1144
665000  -1600   -400    800000  1152
662200  -800    200     800000  1154
663600  400     300     800000  1154
660800  -800    -300    800000  1160
658000  -800    0       800000  1164
656600  -400    100     800000  1168
651000  -1600   -300    800000  1174
648200  -800    200     800000  1182
641900  -1800   -250    800000  1186
639800  -600    300     800000  1189
639800  0       150     800000  1186
637000  -800    -200    800000  1192
634200  -800    0       800000  1196
631400  -800    0       800000  1204
625800  -1600   -200    800000  1209
623000  -800    200     800000  1214
616700  -1800   -250    800000  1224
613200  -1000   200     800000  1228
608300  -1400   -100    800000  1233
606900  -400    250     800000  1238
599900  -2000   -400    800000  1244
599200  -200    450     800000  1246
596400  -800    -150    800000  1250
594300  -600    50      800000  1254
590800  -1000   -100    800000  1260
589400  -400    150     800000  1266
581000  -2400   -500    800000  1272
576800  -1200   300     800000  1280
572600  -1200   0       800000  1284
568400  -1200   0       800000  1290
567000  -400    200     800000  1296
559300  -2200   -450    800000  1302
555800  -1000   300     800000  1310
551600  -1200   -50     800000  1315
545300  -1800   -150    800000  1320
541800  -1000   200     800000  1331
534800  -2000   -250    800000  1334
534800  0       500     800000  1340
532000  -800    -200    800000  1346
526400  -1600   -200    800000  1352
522200  -1200   100     800000  1357
520100  -600    150     800000  1360
516600  -1000   -100    800000  1367
513800  -800    50      800000  1368
511000  -800    0       800000  1373
506800  -1200   -100    800000  1379
504000  -800    100     800000  1382
501900  -600    50      800000  1386
499800  -600    0       800000  1386
500500  200     200     800000  1392
492800  -2200   -600    800000  1398
490000  -800    350     800000  1402
488600  -400    100     800000  1405
485800  -800    -100    800000  1410
483000  -800    0       800000  1416
478800  -1200   -100    800000  1422
474600  -1200   0       800000  1424
473200  -400    200     800000  1426
469700  -1000   -150    800000  1434
465500  -1200   -50     800000  1437
464800  -200    250     800000  1440
462000  -800    -150    800000  1442
460600  -400    100     800000  1446
456400  -1200   -200    800000  1450
455000  -400    200     800000  1452
450800  -1200   -200    800000  1460
450800  0       300     800000  1460
446600  -1200   -300    800000  1465
445200  -400    200     800000  1470
439600  -1600   -300    800000  1476
434700  -1400   50      800000  1478
435400  200     400     800000  1482
431900  -1000   -300    800000  1484
